"NoFilter";"";"";"";"";"";"";"";"";""
"Unit : (2015 = 100)";"";"";"";"";"";"";"";"";""
"Source  : National Institute of Statistics";"";"";"";"";"";"";"";"";""
"Inflation ( Annual glissement)";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";""
"";"March 2022";"April 2022";"May 2022";"June 2022";"July 2022";"August 2022";"September 2022";"October 2022";"November 2022"
"Food and non-alcoholic beverages";"8.7";"8.7";"8.2";"9.5";"11.0";"11.9";"13.0";"12.9";"15.1"
"Alcoholic beverages, tobacco";"21.0";"24.2";"24.3";"24.2";"4.6";"4.8";"6.0";"6.6";"6.6"
"Clothing and footwear";"9.8";"10.1";"9.4";"9.8";"10.4";"10.2";"10.0";"9.7";"9.4"
"Housing, water, electricity, gas and other fuels";"4.9";"5.0";"7.3";"6.1";"6.2";"6.2";"6.4";"7.0";"7.0"
"Furnishings, household equipment and routine household maintenance";"6.1";"7.4";"8.4";"9.7";"10.6";"11.3";"11.6";"11.6";"11.8"
"Health";"4.1";"3.4";"3.5";"3.6";"3.7";"4.0";"4.0";"4.1";"4.1"
"Transport";"5.9";"6.7";"6.7";"6.9";"7.1";"8.1";"8.3";"8.5";"8.9"
"Communication";"2.3";"2.3";"2.1";"2.2";"1.5";"2.4";"2.3";"2.2";"2.3"
"Recreation and culture";"5.9";"6.0";"5.5";"6.3";"7.5";"7.6";"7.3";"7.7";"7.6"
"Education";"9.4";"9.5";"9.6";"9.7";"9.8";"10.0";"10.1";"8.7";"7.1"
"Restaurants and hotels";"7.1";"7.2";"7.9";"7.0";"8.1";"8.4";"9.2";"9.6";"9.8"
"Miscellaneous goods and services";"5.8";"6.5";"6.5";"6.8";"7.8";"8.5";"9.4";"9.4";"9.8"
"All";"7.2";"7.5";"7.8";"8.1";"8.2";"8.6";"9.1";"9.2";"9.8"
